Title,Artist,Male,Female ,Primarily Male ,Primarily Female,Equal Mixed,Pop,Country,2012,2013,2014,2015,2016,Studio,1,2,3,4,5,1,2,3,4,5
Somebdy that I used to know,Gotye ft. Kimbra,0,0,1,0,0,1,0,1,0,0,0,0,Eleven: A Music Company,0,0,0,0,0,0,0,0,0,0
Call me maybe,Carly Rae Jepson,0,1,0,0,0,1,0,1,0,0,0,0,School Boy/ Interscope Records,1,0,0,1,1,2,0,0,2,15
We are young,Fun. ft. Janelle Monáe,0,0,1,0,0,1,0,1,0,0,0,0,"Fueled By Ramen, LLC",0,0,0,0,0,0,0,0,0,0
Payphone,Maroon 5 ft. Wiz Khalifa,1,0,0,0,0,1,0,1,0,0,0,0,Interscope Records,0,0,0,1,1,0,0,0,6,6
Lights,Ellie Goulding,0,1,0,0,0,1,0,1,0,0,0,0,"Polydor, Ltd",0,0,0,0,1,0,0,0,0,16
Glad you came,The Wanted,1,0,0,0,0,1,0,1,0,0,0,0,"Global Talent Records, Ltd",1,0,1,1,0,2,0,29,16,0
Stronger,Kelly Clarkson,0,1,0,0,0,1,0,1,0,0,0,0,"19 Recordings, Ltd",0,0,0,0,0,0,0,0,0,0
We found love,Rihanna ft. Calvin Harris,0,1,0,0,0,1,0,1,0,0,0,0,The Island Def Jam Music Group,0,0,0,0,1,0,0,0,0,1
Starships,Nicki Minaj,0,1,0,0,0,1,0,1,0,0,0,0,"Cash Money Records, Inc",0,1,1,1,1,0,2,10,5,1
What makes you beautiful,One Direction,1,0,0,0,0,1,0,1,0,0,0,0,Simco Limited,1,1,0,1,0,9,9,0,9,0
Thrift Shop,Mackelmore and Ryan Lewis ft. Wanz,1,0,0,0,0,1,0,0,1,0,0,0,"Mackelmore, LLC",0,0,1,1,0,0,0,1,2,0
Blurred Lines,Robin Thicke ft. T.I. and Pharrell,1,0,0,0,0,1,0,0,1,0,0,0,"Star Trak, LLC",1,1,1,1,1,1,10,29,19,25
Radioactive,Imagine Dragons,1,0,0,0,0,1,0,0,1,0,0,0,KIDinaKORNER/Interscope Records,0,0,0,0,0,0,0,0,0,0
Harlem Shake,Baauer,1,0,0,0,0,1,0,0,1,0,0,0,Mad Decent,0,0,0,0,0,0,0,0,0,0
Can't hold us,Mackelmore and Ryan Lewis ft. Ray Dalton,1,0,0,0,0,1,0,0,1,0,0,0,"Mackelmore, LLC",0,0,0,0,0,0,0,0,0,0
Mirrors,Justin Timberlake,1,0,0,0,0,1,0,0,1,0,0,0,RCA Records,1,1,0,0,0,2,2,0,0,0
Just give me a reason,P!nk ft. Nate Ruess,0,0,0,1,0,1,0,0,1,0,0,0,RCA Records,0,0,0,0,1,0,0,0,0,1
When I was your man,Bruno Mars,1,0,0,0,0,1,0,0,1,0,0,0,Atlantic Recording Corporation,0,0,0,0,0,0,0,0,0,0
Cruise,Florida Georgia Line,1,0,0,0,0,1,1,0,1,0,0,0,"Big Machine Label Group, LLC",1,1,0,1,0,4,3,0,1,0
Roar,Katy Perry,0,1,0,0,0,1,0,0,1,0,0,0,"Capitol Records, LLC",0,0,0,0,0,0,0,0,0,0
Happy,Pharrell Williams,1,0,0,0,0,1,0,0,0,1,0,0,Columbia Records,0,1,0,0,0,0,1,0,0,0
Dark horse,Katy Perry ft. Juicy J,0,0,0,1,0,1,0,0,0,1,0,0,"Capitol Records, LLC",0,0,1,1,1,0,0,4,5,1
All of me,John Legend,1,0,0,0,0,1,0,0,0,1,0,0,Getting Out Our Dreams and Columbia Records,0,1,0,0,0,0,1,0,0,0
Fancy,Iggy Azalea ft. Charlie XCX,0,1,0,0,0,1,0,0,0,1,0,0,Virgin EMI Records,1,1,1,1,1,1,2,2,6,3
Counting stars,OneRepublic,1,0,0,0,0,1,0,0,0,1,0,0,Mosley Music Group,0,0,0,0,0,0,0,0,0,0
Talk dirty,Jason Derulo ft. 2 Chainz,1,0,0,0,0,1,0,0,0,1,0,0,Beluga Heights Records,0,1,1,1,1,0,5,31,18,7
Rude,MAGIC!,1,0,0,0,0,1,0,0,0,1,0,0,RCA Records,0,0,0,0,1,0,0,0,0,8
All about that bass,Meghan Trainor,0,1,0,0,0,1,0,0,0,1,0,0,Epic Records,0,1,0,1,1,0,43,0,3,1
Problem,Ariana Grande ft. Iggy Azalea,0,1,0,0,0,1,0,0,0,1,0,0,Republic Records,0,0,0,0,1,0,0,0,0,1
Stay with me,Sam Smith,1,0,0,0,0,1,0,0,0,1,0,0,"Capitol Records, LLC",0,0,1,1,0,0,0,6,1,0
Uptown funk,Mark Ronson ft. Bruno Mars,1,0,0,0,0,1,0,0,0,0,1,0,RCA Records,0,1,1,1,1,0,3,1,1,2
Thinking out loud,Ed Sheeran,1,0,0,0,0,1,0,0,0,0,1,0,Asylum Records,0,0,0,0,0,0,0,0,0,0
See you again,Wiz Khalifa ft. Charlie Puth,1,0,0,0,0,1,0,0,0,0,1,0,Atlantic Recording Corporation,0,0,0,0,0,0,0,0,0,0
Trap queen,Fetty Wap,1,0,0,0,0,1,0,0,0,0,1,0,300 Entertainment/ RGF Productions,1,1,0,1,1,2,2,0,5,5
Suagr,Maroon 5,1,0,0,0,0,1,0,0,0,0,1,0,Interscope Records,0,1,1,1,0,0,2,42,7,0
Shut up and dance,Walk the Moon,1,0,0,0,0,1,0,0,0,0,1,0,RCA Records,0,1,1,0,0,0,1,2,0,0
Blank space,Taylor Swift,0,1,0,0,0,1,0,0,0,0,1,0,"Big Machine Label Group, LLC",0,1,1,1,1,0,2,1,2,5
Watch me,Silentó,1,0,0,0,0,1,0,0,0,0,1,0,"Capitol Records, LLC",0,0,0,0,0,0,0,0,0,0
Earned it,The Weekend,1,0,0,0,0,1,0,0,0,0,1,0,Top Dawg Entertainment,1,0,1,1,0,2,0,8,16,0
The Hills,The Weekend,1,0,0,0,0,1,0,0,0,0,1,0,Top Dawg Entertainment,1,0,1,1,1,1,0,20,3,2
Love yourself,Justin Bieber,1,0,0,0,0,1,0,0,0,0,0,1,Def Jam Recordings,0,0,0,0,0,0,0,0,0,0
Sorry,Justin Bieber,0,0,0,0,0,1,0,0,0,0,0,1,Def Jam Recordings,0,1,0,0,0,0,3,0,0,0
One dance,Drake ft. Wizkid and Kyla,0,0,1,0,0,1,0,0,0,0,0,1,Young Money Entertainment/ Cash Money Records,0,1,1,1,0,0,1,38,1,0
Work,Rihanna ft. Drake,0,0,0,1,0,1,0,0,0,0,0,1,Roc Nation,0,0,0,0,1,0,0,0,0,5
Stressed out,twenty one pilots,1,0,0,0,0,1,0,0,0,0,0,1,"Fueled By Ramen, LLC",0,0,0,0,0,0,0,0,0,0
Panda,Desiigner,1,0,0,0,0,1,0,0,0,0,0,1,GOOD Music,0,1,0,1,1,0,5,0,40,45
Hello,Adele,0,1,0,0,0,1,0,0,0,0,0,1,XL Recordings,0,0,0,0,1,0,0,0,0,2
Don't let me down,The Chainsmokers ft. Daya,0,0,1,0,0,1,0,0,0,0,0,1,Disruptor Records,0,0,0,0,1,0,0,0,0,52
CAN'T STOP THE FEELING,Justin Timberlake,1,0,0,0,0,1,0,0,0,0,0,1,RCA Records,1,0,1,0,0,3,0,7,0,0
Closer,The Chainsmokers ft. Halsey,0,0,1,0,0,1,0,0,0,0,0,1,Disruptor Records,1,1,1,0,1,2,2,21,0,3
Time is love,Josh Turner,1,0,0,0,0,0,1,1,0,0,0,0,MCA Nashville,0,0,0,0,0,0,0,0,0,0
You don't know her like I do,Brantley Gilbert,1,0,0,0,0,0,1,1,0,0,0,0,"The Valory Music Co., LLC",0,0,0,0,0,0,0,0,0,0
Why ya wanna,Jana Kramer,0,1,0,0,0,0,1,1,0,0,0,0,"Warner Music Nashville, LLC",1,1,0,0,0,3,4,0,0,0
Cowboys and angels,Dustin Lynch,1,0,0,0,0,0,1,1,0,0,0,0,Broken Bow Records,0,0,1,0,1,0,0,2,0,1
(Kissed you) Good night,Gloriana,0,0,0,0,1,0,1,1,0,0,0,0,Emblem Records Inc.,0,0,1,0,1,0,0,3,0,5
Better than I used to be,Tim McGraw,1,0,0,0,0,0,1,1,0,0,0,0,Curb Records Inc.,0,0,0,0,0,0,0,0,0,0
Even if it breaks your heart,Eli Young Band,1,0,0,0,0,0,1,1,0,0,0,0,"Big Machine Label Group, LLC",0,0,0,0,0,0,0,0,0,0
Lovin' you is fun,Easton Corbin,1,0,0,0,0,0,1,1,0,0,0,0,Mercury Records,0,0,0,0,0,0,0,0,0,0
Springsteen,Eric Church,1,0,0,0,0,0,1,1,0,0,0,0,Capitol Records Nashville,0,1,1,0,0,0,2,3,0,0
Drunk on you,Luke Bryan,1,0,0,0,0,0,1,1,0,0,0,0,Capitol Records Nashville,1,1,1,1,0,3,9,21,20,0
Cruise,Florida Georgia Line,1,0,0,0,0,1,1,0,1,0,0,0,"Big Machine Label Group, LLC",1,1,0,1,0,4,3,0,1,0
Wagon wheel,Darius Rucker,1,0,0,0,0,0,1,0,1,0,0,0,Capitol Records Nashville,0,0,0,0,0,0,0,0,0,0
Boys 'round here,Blake Shelton ft. Pistol Annies and Friends,0,0,1,0,0,0,1,0,1,0,0,0,"Ten Point Productions, Inc.",0,1,1,1,1,0,5,13,4,2
Crash my party,Luke Bryan,1,0,0,0,0,0,1,0,1,0,0,0,Capitol Records Nashville,1,1,1,1,0,1,3,12,2,0
